(dollar sign)	[(dollar sign), $]
comedian	[comedian, comédien, comédienne, comédienne]
comedienne	[comedienne, comédienne]
comedians	[comedians, comédiens]
comedies	[comedies, comédies]
concentration	[concentration, concentration]
focuses	[focuses, concentre]
concentrated	[concentrated, concentrent]
focus	[focus, concentrent, concentrer, concentrer]
cencentrate	[cencentrate, concentrer]
concept	[concept, concept]
conception(for meridines)  making (for the char) have an idea (for rommel)	[conception(for meridines)  making (for the char) have an idea (for rommel), conception]
design	[design, conception, concevoir, concevoir, design, design, dessin, dessin]
conception	[conception, conception]
conceptions	[conceptions, conceptions]
designs	[designs, conceptions, conçoit, conçoit]
concepts	[concepts, concepts]
concerning	[concerning, concernant, relatifs, relatifs, touchant, touchant]
concerns	[concerns, concerne, préoccupations, préoccupations]
involves	[involves, concerne]
regarding	[regarding, concernent, quant, quant]
concern	[concern, concernent, portent, portent, souci, souci]
concerned	[concerned, concernés, soucieux, soucieux]
concert	[concert, concert]
concerto	[concerto, concerto]
concertos	[concertos, concertos]
concerts	[concerts, concerts]
council	[council, concile, conseil, conseil]
conciliate	[conciliate, concilier]
reconcile	[reconcile, concilier]
gain	[gain, concilier, gain, gain]
concluded	[concluded, conclu]
coucluded	[coucluded, conclu]
find	[find, conclure, retrouve, retrouve, retrouvent, retrouvent, retrouver, retrouver, trouvant, trouvant, trouve, trouve, trouvent, trouvent, trouver, trouver]
conclude	[conclude, conclure]
conclusion	[conclusion, conclusion]
conclusions	[conclusions, conclusions]
concludes	[concludes, conclut]
concorde	[concorde, concorde]
contest	[contest, concours, contesté, contesté, contestée, contestée]
competitor	[competitor, concurrent]
rival	[rival, concurrents, rival, rival]
competitors	[competitors, concurrents]
condemnation	[condemnation, condamnation]
condemns	[condemns, condamne]
condemn	[condemn, condamne]
condemned	[condemned, condamné, condamnée, condamnée, condamnés, condamnés]
sentenced	[sentenced, condamnée, condamnés, condamnés]
health	[health, condition, sanitaire, sanitaire, sanitaires, sanitaires, santé, santé, soins, soins]
condition	[condition, condition]
conditions	[conditions, conditions]
driver	[driver, conducteur, pilote, pilote]
guide, in this context	[guide, in this context, conducteur]
guide	[guide, conducteur, guide, guide]
driving	[driving, conduire]
leading	[leading, conduisant, menant, menant]
they drive	[they drive, conduisent]
conduct	[conduct, conduisent, conduite, conduite, conduits, conduits]
leads	[leads, conduit, entraîne, entraîne, mène, mène]
taken	[taken, conduits, pris, pris, prises, prises]
conducted	[conducted, conduits, dirigé, dirigé, menée, menée, menées, menées, menés, menés, réalisée, réalisée]
religion	[religion, confession, religion, religion]
confession	[confession, confession]
confessions	[confessions, confessions]
trust	[trust, confiance]
confides	[confides, confie]
entrusts	[entrusts, confie]
configuration	[configuration, configuration]
confirmation	[confirmation, confirmation]
confirms	[confirms, confirme]
confirmed	[confirmed, confirmé, confirmée, confirmée]
confined	[confined, confié]
entrusted	[entrusted, confié, confiée, confiée]
confide	[confide, confiée]
conflict	[conflict, conflit]
conflicts	[conflicts, conflits]
mix	[mix, confondre, loffre, loffre, mélange, mélange]
mix up	[mix up, confondre]
to confuse	[to confuse, confondre]
confused	[confused, confondues]
merged	[merged, confondues]
conforms	[conforms, conforme]
consistent	[consistent, conforme]
true	[true, conforme, vrai, vrai, vraie, vraie, vrais, vrais, véritable, véritable, véritables, véritables]
in conformity	[in conformity, conformément]
in accordance	[in accordance, conformément]
in accordance with	[in accordance with, conformément]
comfort	[comfort, confort]
showdown	[showdown, confrontation]
confrontation	[confrontation, confrontation]
faced	[faced, confronté]
confusion	[confusion, confusion]
confers	[confers, confère]
gives	[gives, confère, cède, cède, donne, donne, fournit, fournit, remet, remet]
confederacy	[confederacy, confédération]
confederation	[confederation, confédération]
conference	[conference, conférence]
conferences	[conferences, conférences]
congo	[congo, congo]
meetings, conferences	[meetings, conferences, congrès]
congress	[congress, congrès]
jointly	[jointly, conjointement]
together	[together, conjointement, ensemble, ensemble, regroupent, regroupent]
knew	[knew, connaissait, connu, connu, connut, connut, savait, savait, su, su]
knowledge	[knowledge, connaissance, connaissances, connaissances, savoir, savoir]
know	[know, connaissent, connaître, connaître, connut, connut, sait, sait, savent, savent, savoir, savoir]
experiences	[experiences, connait, expériences, expériences, éprouve, éprouve]
experience	[experience, connait, connaître, connaître, expérience, expérience, lexpérience, lexpérience, vécu, vécu]
taste	[taste, connaît, goût, goût]
knows	[knows, connaît, sait, sait]
will know	[will know, connaîtra]
related	[related, connexes, lié, lié, liés, liés, rapportent, rapportent, relatifs, relatifs, relève, relève]
connection	[connection, connexion]
known	[known, connu, connue, connue, connues, connues, dite, dite, entendu, entendu, surnommée, surnommée]
famous	[famous, connus, célèbre, célèbre, célèbres, célèbres, fameuse, fameuse, fameux, fameux, illustre, illustre, réputé, réputé, réputée, réputée]
recognized	[recognized, connut, reconnu, reconnu, reconnue, reconnue, reconnues, reconnues, reconnus, reconnus]
conquered	[conquered, conquis]
conquer	[conquer, conquérir]
conquest	[conquest, conquête]
conquering	[conquering, conquête]
conquests	[conquests, conquêtes]
dedicated	[dedicated, consacre, consacré, consacré, consacrées, consacrées, consacrés, consacrés, destinés, destinés, dédié, dédié, dédiée, dédiée, dédiés, dédiés, spécialisé, spécialisé]
dedicate	[dedicate, consacre, consacrer, consacrer, consacrées, consacrées]
devote	[devote, consacrer]
devoted	[devoted, consacrée, consacrées, consacrées, consacrés, consacrés]
consciousness	[consciousness, conscience]
aware	[aware, conscient]
conscient	[conscient, conscient]
conscious	[conscious, conscient]
advises	[advises, conseille]
advise	[advise, conseille]
advisable	[advisable, conseille]
adviser	[adviser, conseiller]
advisor	[advisor, conseiller]
councillors	[councillors, conseillers]
adviced	[adviced, conseillé]
advised	[advised, conseillé]
advice	[advice, conseils, lavis, lavis]
consensus	[consensus, consensus]
consent	[consent, consentement]
conservant	[conservant, conservant]
keeping	[keeping, conservant]
maintaining	[maintaining, conservant, maintien, maintien, éprouve, éprouve]
conservative	[conservative, conservateur, conservatrice, conservatrice]
conservatives	[conservatives, conservateurs]
conservator	[conservator, conservateurs]
preservation	[preservation, conservation, préservation, préservation]
conservatory	[conservatory, conservatoire]
conservationist	[conservationist, conservatrice]
kept	[kept, conserve, conservé, conservé, conservée, conservée, conservées, conservées, conservés, conservés, gardé, gardé]
tinned food	[tinned food, conserve]
keep	[keep, conservent, conserver, conserver, garder, garder, laisser, laisser, tenir, tenir]
conservre	[conservre, conserver]
retained	[retained, conservé, retenu, retenu, retenue, retenue]
preserved	[preserved, conservée, conservées, conservées, conservés, conservés]
stored	[stored, conservées, conservés, conservés]
considers	[considers, considère, considérait, considérait, estime, estime]
consider	[consider, considère, considèrent, considèrent, considérer, considérer, considérée, considérée, voit, voit]
considerably	[considerably, considérable, considérablement, considérablement]
considerable	[considerable, considérable, considérables, considérables]
significantly	[significantly, considérablement, sensiblement, sensiblement]
considerables	[considerables, considérables]
thought	[thought, considérait, croyait, croyait, pensait, pensait, pensé, pensé, pensée, pensée, réflexion, réflexion]
considering	[considering, considérant, estimant, estimant]
consideration	[consideration, considération, contrepartie, contrepartie, légard, légard, rémunération, rémunération]
considerations	[considerations, considérations]
to consider	[to consider, considérer]
regarded	[regarded, considérées, considérés, considérés]
consisting	[consisting, consistant]
consist in	[consist in, consiste]
consumer	[consumer, consommateur, consommer, consommer]
consummers	[consummers, consommateurs]
consumers	[consumers, consommateurs]
consumption	[consumption, consommation]
consumes	[consumes, consomme]
consume	[consume, consomme]
eat	[eat, consommer, manger, manger]
consumed	[consumed, consommé]
consummate	[consummate, consommé]
used/eaten	[used/eaten, consommé]
constantly	[constantly, constamment]
constant	[constant, constant, constante, constante]
constantin	[constantin, constantin]
constantinople	[constantinople, constantinople]
notices	[notices, constate]
notice	[notice, constate, mention, mention, remarque, remarque]
notes	[notes, constate, notes, notes, relevé, relevé]
note	[note, constater, constaté, constaté, nb, nb, note, note, noter, noter, notera, notera, notons, notons]
found	[found, constaté, fondent, fondent, fonder, fonder, retrouve, retrouve, retrouvé, retrouvé, trouvaient, trouvaient, trouvait, trouvait, trouvent, trouvent, trouvé, trouvé, trouvée, trouvée]
being	[being, constituant, étant, étant]
constituent	[constituent, constituant, constituante, constituante]
constituting	[constituting, constituant]
constitutional	[constitutional, constituante, constitutionnel, constitutionnel, constitutionnelle, constitutionnelle]
is	[is, constitue, est, est, is, is, lon, lon, sagit, sagit, situe, situe, soit, soit, tient, tient, trouve, trouve]
constitutes	[constitutes, constitue]
constitute	[constitute, constituent, constituer, constituer, représentent, représentent]
form	[form, constituer, forme, forme, forment, forment, former, former, formé, formé]
constitution	[constitution, constitution]
constituted	[constituted, constitué]
incorporated	[incorporated, constituée, constitués, constitués]
formed	[formed, constitués, formé, formé, formée, formée]
makers	[makers, constructeurs, fabricants, fabricants]
manufacturers	[manufacturers, constructeurs, fabricants, fabricants]
constructions	[constructions, constructions]
build	[build, construire, fabrique, fabrique]
constructed	[constructed, construit]
consul	[consul, consul]
consulate	[consulate, consulat]
consultation	[consultation, consultation]
reference	[reference, consultation, repères, repères, référence, référence]
consult	[consult, consulter]
consequential	[consequential, consécutifs]
consecutive	[consecutive, consécutifs, consécutive, consécutive, consécutives, consécutives]
following	[following, consécutive, suite, suite, suites, suites, suivant, suivant, suivante, suivante, suivantes, suivantes, suivants, suivants]
subsequent	[subsequent, consécutive, successifs, successifs]
consequently	[consequently, consécutives]
consequence	[consequence, conséquence, suites, suites]
result	[result, conséquence, conséquent, conséquent, résultat, résultat, résulte, résulte]
consequences	[consequences, conséquence, conséquences, conséquences, suites, suites]
contact	[contact, contact]
contacts	[contacts, contacts]
contamination	[contamination, contamination]
tale	[tale, conte]
fairy tale	[fairy tale, conte]
modern	[modern, contemporain, contemporains, contemporains, moderne, moderne, modernes, modernes, regarder, regarder]
contemporary	[contemporary, contemporain, contemporaine, contemporaine, contemporaines, contemporaines, contemporains, contemporains]
containing	[containing, contenant]
comprising	[comprising, contenant]
contain	[contain, contenir, contiennent, contiennent]
content	[content, contenu, fond, fond, teneur, teneur]
contained	[contained, contenus, figurant, figurant]
contents	[contents, contenus]
tales	[tales, contes, fables, fables]
dissent	[dissent, contestation]
contestation	[contestation, contestation]
contested	[contested, contesté]
challenged	[challenged, contesté, contestée, contestée]
controversed	[controversed, contestée, controversée, controversée]
incorporate	[incorporate, contiennent]
contains	[contains, contient]
continent	[continent, continent]
continental	[continental, continental, continentale, continentale]
continents	[continents, continents]
continuous	[continuous, continu]
continued	[continued, continua, continué, continué]
continues	[continues, continue, poursuit, poursuit]
continue	[continue, continue, continuent, continuent, continuer, continuer, poursuivre, poursuivre]
continuity	[continuity, continuité]
contraction	[contraction, contraction]
contradiction	[contradiction, contradiction]
contradictory	[contradictory, contradictoires]
adversarial	[adversarial, contradictoires]
forced	[forced, contraint, force, force, forcé, forcé, forcée, forcée, obligé, obligé]
against	[against, contraint, contre, contre, lencontre, lencontre]
constraint	[constraint, contrainte]
constraints	[constraints, contraintes]
contrary	[contrary, contraire, lopposé, lopposé]
contrarily	[contrarily, contrairement]
contrary to	[contrary to, contrairement]
contrast	[contrast, contraste]
contract	[contract, contrat]
contracts	[contracts, contrats]
counterpart	[counterpart, contrepartie]
counteract	[counteract, contrer]
counter	[counter, contrer]
contributes	[contributes, contribue, contribuent, contribuent]
contriues	[contriues, contribue]
contribute	[contribute, contribuent, contribuer, contribuer]
to contribute	[to contribute, contribuer]
contributed	[contributed, contribué]
controversy	[controversy, controverse, controversé, controversé]
controversies	[controversies, controverses, polémiques, polémiques]
discussed	[discussed, controversé]
controversial	[controversial, controversé, controversée, controversée]
control	[control, contrôle, contrôler, contrôler]
controlling	[controlling, contrôler]
controls	[controls, contrôles]
controller	[controller, contrôleur]
supervisor	[supervisor, contrôleur]
controlled	[controlled, contrôlé]
controled	[controled, contrôlé]
convince	[convince, convainc, convaincre, convaincre]
convinced	[convinced, convaincu]
ruling	[ruling, convention]
convention	[convention, convention]
conventions	[conventions, conventions]
discussion	[discussion, conversation, discussion, discussion]
talk	[talk, conversation, parlent, parlent, parler, parler]
conversion	[conversion, conversion]
belief	[belief, conviction, croyance, croyance, croyances, croyances]
conviction	[conviction, conviction]
it is suitable	[it is suitable, convient]
is important	[is important, convient]
suit	[suit, convient, costume, costume]
imagine	[imagine, conçoit, imagine, imagine]
written	[written, conçu, inscrite, inscrite, lécrit, lécrit, rédigé, rédigé, écrit, écrit, écrite, écrite, écrites, écrites]
conceived	[conceived, conçu, conçue, conçue]
designed	[designed, conçu, conçue, conçue, conçus, conçus]
aimed	[aimed, conçue, destinée, destinée, destinées, destinées]
created	[created, conçus, crée, crée, créé, créé, créées, créées, créés, créés, fondé, fondé]
cook	[cook, cook]
cook (name)	[cook (name), cook]
cookie scripts	[cookie scripts, cookie]
cookie	[cookie, cookie]
cooper	[cooper, cooper]
cooperation	[cooperation, coopération]
coordination	[coordination, coordination]
coordinate	[coordinate, coordonnées]
coordinated	[coordinated, coordonnées]
copy	[copy, copie, reproduction, reproduction]
copies	[copies, copies, exemplaires, exemplaires]
coppola	[coppola, coppola]
coprolalia	[coprolalia, coprolalie]
copralalia	[copralalia, coprolalie]
corprolalie	[corprolalie, coprolalie]
corpolalia	[corpolalia, coprolalie]
copyright	[copyright, copyright]
koran	[koran, coran]
le corbusier	[le corbusier, corbusier]
rope	[rope, corde]
twist	[twist, corde]
strings	[strings, cordes]
mountain range	[mountain range, cordillère]
cordillera	[cordillera, cordillère]
corneille	[corneille, corneille]
crow	[crow, corneille, foule, foule]
corporation	[corporation, corporation]
body	[body, corps, organe, organe, organisme, organisme]
corpse	[corpse, corps]
corpus	[corpus, corpus]
correctly	[correctly, correctement]
fits(1st) is equivalent (for 2nd sentence)	[fits(1st) is equivalent (for 2nd sentence), correspond]
corresponds	[corresponds, correspond]
correspondence	[correspondence, correspondance]
corresponding	[corresponding, correspondant]
correspondant	[correspondant, correspondant]
correspond	[correspond, correspondent]
match	[match, correspondent, match, match, matchs, matchs]
within	[within, correspondre, relèvent, relèvent, sein, sein]
to correspond	[to correspond, correspondre]
correct	[correct, corriger, exacte, exacte]
corruption	[corruption, corruption]
corsican	[corsican, corse]
corsica	[corsica, corse]
cortex	[cortex, cortex]
cortinaire	[cortinaire, cortinaire]
cortinarii	[cortinarii, cortinaire]
cortinar	[cortinar, cortinaire]
type of mushroom - probably cortinaire in english	[type of mushroom - probably cortinaire in english, cortinaire]
cortinairius	[cortinairius, cortinaire]
cortinarius	[cortinarius, cortinaire]
coronavirus	[coronavirus, cortinaire]
genus	[genus, cortinaire, genre, genre]
cortinary	[cortinary, cortinaire]
korea	[korea, corée]
cos	[cos, cos]
costa	[costa, costa]
coast (but costa rica is a place name)	[coast (but costa rica is a place name), costa]
costume	[costume, costume]
costumes	[costumes, costumes]
cotton	[cotton, coton]
neck	[neck, cou]
layer	[layer, couche]
put to bed	[put to bed, coucher]
sleep	[sleep, coucher, sommeil, sommeil]
go to bed	[go to bed, coucher]
strata	[strata, couches]
color	[color, couleur]
colour	[colour, couleur]
colors	[colors, couleurs]
corridor	[corridor, couloir]
row	[row, couloir]
blow	[blow, coup]
coup	[coup, coup, coups, coups]
knock	[knock, coup]
guilty	[guilty, coupable]
culprit	[culprit, coupable]
cup	[cup, coupe, cup, cup]
cut	[cut, couper, coupure, coupure, coupé, coupé, découpage, découpage]
cups	[cups, coupes]
the cup	[the cup, coupes]
cuts	[cuts, coupes]
couple	[couple, couple, coupole, coupole]
couples	[couples, couples]
pair,couples	[pair,couples, couples]
cupola/dome	[cupola/dome, coupole]
coupole	[coupole, coupole]
cupola	[cupola, coupole]
dome	[dome, coupole]
archit dome	[archit dome, coupole]
coups	[coups, coups]
split	[split, coupé, divisées, divisées, rupture, rupture, séparé, séparé, séparés, séparés]
court	[court, cour, tribunal, tribunal]
courage	[courage, courage]
fluently	[fluently, couramment]
commonly(for the first) fluently (for the second about language)	[commonly(for the first) fluently (for the second about language), couramment]
currents	[currents, courants]
curve	[curve, courbe]
crowne	[crowne, couronne]
crown	[crown, couronne]
mail	[mail, courrier]
during	[during, cours, durant, durant, pendant, pendant]
race	[race, course, courses, courses, race, race]
trip	[trip, course, voyage, voyage]
runs	[runs, courses]
trips	[trips, courses, voyages, voyages]
short	[short, court, courte, courte, courtes, courtes, courts, courts]
facility	[facility, court]
short film	[short film, courtmétrage]
short length	[short length, courtmétrage]
cousin	[cousin, cousin]
customary	[customary, coutume]
custom	[custom, coutume, coutumes, coutumes, lhabitude, lhabitude]
customs	[customs, coutumes]
covent	[covent, couvent]
convent	[convent, couvent]
covered	[covered, couvert, couverte, couverte, repris, repris]
cutlery	[cutlery, couverts]
cover	[cover, couverture, couvre, couvre, couvrent, couvrent, couvrir, couvrir, reprises, reprises, traitent, traitent]
coverage	[coverage, couverture]
covering	[covering, couvrant]
covers	[covers, couvre, occupe, occupe, recouvre, recouvre]
co-written	[co-written, coécrit]
cost	[cost, coût, valu, valu]
costly	[costly, coûteux]
costs	[costs, coûts, frais, frais]
craig	[craig, craig]
craig (man's name)	[craig (man's name), craig]
fearing	[fearing, craignant]
fear	[fear, craint, crainte, crainte, peur, peur]
fears	[fears, craint]
crater	[crater, cratère]
cricket	[cricket, cricket]
crime	[crime, crime, criminalité, criminalité]
crimes	[crimes, crimes]
criminality/crime	[criminality/crime, criminalité]
criminal	[criminal, criminel]
criminals	[criminals, criminels]
crisis	[crisis, crise, crises, crises]
crises	[crises, crises]
cristiano	[cristiano, cristiano]
critics	[critics, critics, critiques, critiques]
criticizes	[criticizes, critique]
criticisms	[criticisms, critiques]
critical	[critical, critiques, décisif, décisif, essentielle, essentielle]
criticized	[criticized, critiqué, critiquée, critiquée]
criteria	[criteria, critère, critères, critères]
criterions	[criterions, critères]
croatian	[croatian, croate]
croatia	[croatia, croatie]
believe	[believe, croient, croire, croire]
crossing	[crossing, croisement, traversé, traversé]
growth	[growth, croissance, expansion, expansion]
growing	[growing, croissant, croissante, croissante, grandissante, grandissante]
crescent	[crescent, croissant]
crusaders	[crusaders, croisés]
believes	[believes, croit]
cross	[cross, croix, cross, cross, traversent, traversent, traverser, traverser]
believed	[believed, croyait, cru, cru, reçue, reçue]
tought	[tought, croyait]
beliefs	[beliefs, croyances]
believer(for victor hugo) believing (for napoloeon)	[believer(for victor hugo) believing (for napoloeon), croyant]
believer	[believer, croyant]
grow	[grow, croître]
crust	[crust, croûte]
grown	[grown, cru, cultivées, cultivées]
cranium	[cranium, crâne]
skull	[skull, crâne]
creating	[creating, créant]
founder	[founder, créateur, fondateur, fondateur]
creator	[creator, créateur]
creators	[creators, créateurs]
creation	[creation, création]
creations	[creations, créations]
creativity	[creativity, créativité]
creature	[creature, créature]
creatures	[creatures, créatures]
credit	[credit, crédit]
creates	[creates, crée, créée, créée]
create	[create, créent, créer, créer, créée, créée, créés, créés, former, former]
creole	[creole, créole]
founded	[founded, créée, fondent, fondent, fondé, fondé, fondée, fondée, fondées, fondées]
cuba	[cuba, cuba]
cuban	[cuban, cubain, cubaine, cubaine, cubains, cubains]
guys	[guys, cubains]
leather	[leather, cuir]
cuisine	[cuisine, cuisine]
copper	[copper, cuivre]
cullen	[cullen, cullen]
peak	[peak, culminant, culmine, culmine, lapogée, lapogée, pic, pic]
culminating	[culminating, culminant]
culminates	[culminates, culmine]
culpability	[culpability, culpabilité]
guilt	[guilt, culpabilité]
guiltiness	[guiltiness, culpabilité]
worship	[worship, culte]
cults	[cults, cultes]
cultivate	[cultivate, cultivées]
cultivated	[cultivated, cultivées]
culture	[culture, culture]
cultural	[cultural, culturel, culturelle, culturelle, culturelles, culturelles, culturels, culturels]
cultures	[cultures, cultures]
cunnilingus	[cunnilingus, cunnilingus]
tasse	[tasse, cup]
cure	[cure, cure]
therapy	[therapy, cure]
curie	[curie, curie]
curious	[curious, curieux]
cycle	[cycle, cycle]
cycles	[cycles, cycles]
cyclism	[cyclism, cyclisme]
cycling	[cycling, cyclisme]
cyclist	[cyclist, cycliste]
hurricane	[hurricane, cyclones]
cyclones	[cyclones, cyclones]
cypress tree	[cypress tree, cyprès]
cypress,type of tree	[cypress,type of tree, cyprès]
cypress trees	[cypress trees, cyprès]
cypres	[cypres, cyprès]
cy	[cy, cyprès]
cypresses	[cypresses, cyprès]
cyrus	[cyrus, cyrus]
cable	[cable, câble]
cables	[cables, câbles]
give up	[give up, cède, renoncer, renoncer]
give in	[give in, cède]
cecile	[cecile, cécile]
ceder	[ceder, céder]
transfer	[transfer, céder, transfert, transfert, transferts, transferts]
heavenly	[heavenly, céleste]
celebration	[celebration, célébration, festival, festival, fête, fête]
celebrations	[celebrations, célébrations]
to celebrate	[to celebrate, célébrer]
celebrate	[celebrate, célébrer]
celebrity	[celebrity, célébrité, starr, starr]
celebrities	[celebrities, célébrités]
celebrated	[celebrated, célébré, célébrée, célébrée]
ceramic	[ceramic, céramique]
cereals	[cereals, céréales]
grains	[grains, céréales, grains, grains]
cerebral	[cerebral, cérébral, cérébrale, cérébrale]
ceremony	[ceremony, cérémonie, rituel, rituel]
ceremonies	[ceremonies, cérémonies]
cesar	[cesar, césar]
this was	[this was, cétait]
it was	[it was, cétait]
coast	[coast, côte, côtes, côtes]
shores	[shores, côtes, rives, rives]
ratings	[ratings, côtes]
costal	[costal, côtière]
coastal	[coastal, côtière, côtières, côtières]
da	[da, da]
dabi	[dabi, dabi]
dhabi	[dhabi, dabi]
firstly	[firstly, dabord]
first	[first, dabord, first, first, premier, premier, premiers, premiers, première, première, premières, premières]
home	[home, daccueil, domicile, domicile, foyer, foyer, home, home, résidence, résidence]
docking	[docking, daccueil]
of access	[of access, daccès]
to access	[to access, daccéder]
purchase	[purchase, dachat, lachat, lachat]
dachille	[dachille, dachille]
of steel	[of steel, dacier]
participants	[participants, dacteurs, participants, participants]
editors	[editors, dacteurs, éditeurs, éditeurs]
of actors	[of actors, dacteurs]
of action	[of action, daction, dactions, dactions]
of activity	[of activity, dactivité]
of activities	[of activities, dactivités]
of administration	[of administration, dadministration]
of adn	[of adn, dadn]
of affairs	[of affairs, daffaires]
of africa	[of africa, dafrique]
daft	[daft, daft]
daider	[daider, daider]
dailleurs	[dailleurs, dailleurs]
dair	[dair, dair]
dakar	[dakar, dakar]
of albert	[of albert, dalbert]
of alcohol	[of alcohol, dalcool]
of alexandre	[of alexandre, dalexandre]
of alexander	[of alexander, dalexandre]
of alexandrie	[of alexandrie, dalexandrie]
of alexandria	[of alexandria, dalexandrie]
from algiers	[from algiers, dalger]
from alger	[from alger, dalger]
of algeria	[of algeria, dalgérie]
from algeria	[from algeria, dalgérie]
of germany	[of germany, dallemagne]
to pave	[to pave, daller]
to go	[to go, daller]
pave	[pave, daller]
of alsace	[of alsace, dalsace]
of aluminium	[of aluminium, daluminium]
aluminum	[aluminum, daluminium]
alzheimer	[alzheimer, dalzheimer]
dali	[dali, dalí]
(part of a name here)	[(part of a name here), dam]
queen	[queen, dame, queen, queen, reine, reine]
dame	[dame, dame]
ladies	[ladies, dames]
dames	[dames, dames]
of friendship	[of friendship, damitié]
of love	[of love, damour]
dameliorer	[dameliorer, daméliorer]
development	[development, daménagement, développement, développement, essor, essor, lélaboration, lélaboration]
country planning	[country planning, daménagement]
of america	[of america, damérique]
dan	[dan, dan]
of analysis	[of analysis, danalyse]
danalyse	[danalyse, danalyse]
danciens	[danciens, danciens, limitrophes, limitrophes]
denmark	[denmark, danemark]
dangerous	[dangerous, dangereux]
dangers	[dangers, dangers]
dangleterre	[dangleterre, dangleterre]
daniel	[daniel, daniel]
of animation	[of animation, danimation]
wildlife	[wildlife, danimaux, faune, faune]
of animals	[of animals, danimaux]
of anne (woman's name)	[of anne (woman's name), danne]
danny	[danny, danny]
danneel	[danneel, dannée]
dancer	[dancer, dannées]
specifications, characteristics	[specifications, characteristics, dannées]
danish	[danish, danois]
dance	[dance, danse]
danse	[danse, danse]
dances	[dances, danses]
danses	[danses, danses]
danube	[danube, danube]
daout	[daout, daoût]
of august	[of august, daoût]
appeal	[appeal, dappel]
of application	[of application, dapplication]
according to	[according to, daprès, selon, selon]
according	[according, daprès]
daragon	[daragon, daragon]
of aragon	[of aragon, daragon]
d'arc	[d'arc, darc]
darchitecture	[darchitecture, darchitecture]
from aristotle	[from aristotle, daristote]
of aristote	[of aristote, daristote]
darius	[darius, darius]
dark	[dark, dark, sombre, sombre, sombres, sombres]
(and part of a name)	[(and part of a name), dark]
police	[police, darmes, police, police, policiers, policiers]
os shut down	[os shut down, darrêt]
of arrest	[of arrest, darrêt]
to stop	[to stop, darrêter, stopper, stopper]
of art	[of art, dart]
of articles	[of articles, darticles]
of arts	[of arts, darts]
of the arts	[of the arts, darts]
darwin	[darwin, darwin]
asperger's	[asperger's, dasperger]
spray	[spray, dasperger]
to ensure	[to ensure, dassurer, sassurer, sassurer]
dating	[dating, datant, remontant, remontant]
date	[date, date, datent, datent]
dates	[dates, dates]
days	[days, dates, days, days, journées, journées, jours, jours]
of athena	[of athena, dathènes]
athenes	[athenes, dathènes]
of athene	[of athene, dathènes]
of attack	[of attack, dattaque]
of strike	[of strike, dattaque]
datteindre	[datteindre, datteindre, effectif, effectif]
attain	[attain, datteindre]
to reach	[to reach, datteindre]
of	[of, dau, de, de, dentre, dentre, des, des, di, di, du, du]
of at	[of at, dau]
to increase	[to increase, daugmenter]
auguste	[auguste, dauguste]
todays	[todays, daujourdhui]
of today	[of today, daujourdhui]
dolphin	[dolphin, dauphin]
dauphin	[dauphin, dauphin]
of auschwitz	[of auschwitz, dauschwitz]
of australia	[of australia, daustralie]
as much as	[as much as, dautant]
especially	[especially, dautant, notamment, notamment, particulièrement, particulièrement, surtout, surtout]
author's	[author's, dauteurs]
d'autre part = on the other hand	[d'autre part = on the other hand, dautre]
dautriche	[dautriche, dautriche]
of austria	[of austria, dautriche]
further	[further, davantage]
furthermore	[furthermore, davantage]
more	[more, davantage, plus, plus, plutôt, plutôt]
dave	[dave, dave]
david	[david, david]
davis	[davis, davis]
the view	[the view, davis]
of opinion	[of opinion, davis]
having (put it out too soon after)	[having (put it out too soon after), davoir]
davril	[davril, davril]
april's	[april's, davril]
dazur	[dazur, dazur]
dc	[dc, dc]
d.c.	[d.c., dc]
dean	[dean, dean]
eastwood	[eastwood, deastwood, eastwood, eastwood]
of eastwood	[of eastwood, deastwood]
death	[death, death, décès, décès]
of water	[of water, deau]
deau	[deau, deau]
standing	[standing, debout]
of edgar	[of edgar, dedgar]
edgar	[edgar, dedgar]
deezer	[deezer, deezer]
deaf	[deaf, def]
def	[def, def]
do	[do, deffectuer, do, do, effectuer, effectuer, faire, faire, fait, fait, faites, faites]
to make	[to make, deffectuer]
degree	[degree, degré, °, °]
degrees	[degrees, degrés]
outside	[outside, dehors, extérieur, extérieur, extérieurs, extérieurs]
out	[out, dehors, sorti, sorti, sortis, sortis]
delacroix	[delacroix, delacroix]
della	[della, della]
of her	[of her, delle]
delle	[delle, delle]
delta	[delta, delta]
of elvis	[of elvis, delvis]
tomorrow	[tomorrow, demain]
asked	[asked, demanda, demandé, demandé]
asking	[asking, demandant]
request	[request, demande, demander, demander, requête, requête, requêtes, requêtes]
asks	[asks, demande]
ask for	[ask for, demandent]
ask (for 1st) demand( for 2nd)	[ask (for 1st) demand( for 2nd), demandent]
ask	[ask, demander, donner, donner, posent, posent]
requests	[requests, demandes]
queries	[queries, demandes, requêtes, requêtes]
required	[required, demandé]
demand	[demand, demandé, revendications, revendications, réclame, réclame]
remains	[remains, demeure, restes, restes, subsiste, subsiste, vestiges, vestiges]
residence	[residence, demeure, résidence, résidence]
stays	[stays, demeure, reste, reste, restes, restes, séjours, séjours]
remain	[remain, demeurent, restait, restait, restent, restent, subsistent, subsistent]
stay	[stay, demeurent, restent, restent, rester, rester, séjour, séjour, séjours, séjours]
half	[half, demi, moitié, moitié]
looked	[looked, demifinale]
